rule_id,rule_count,turn_count,attack_intensity,failed,total,failure_rate
R01,3,1,adversarial,0,2,0.0
R01,3,1,benign,0,2,0.0
R01,3,5,adversarial,0,4,0.0
R01,3,5,benign,0,2,0.0
R01,3,10,adversarial,0,4,0.0
R01,3,10,benign,0,2,0.0
R01,3,15,adversarial,0,4,0.0
R01,3,15,benign,0,2,0.0
R01,5,1,adversarial,0,5,0.0
R01,5,1,benign,0,5,0.0
R01,5,5,adversarial,0,10,0.0
R01,5,5,benign,0,5,0.0
R01,5,10,adversarial,0,10,0.0
R01,5,10,benign,0,5,0.0
R01,5,15,adversarial,0,10,0.0
R01,5,15,benign,0,5,0.0
R01,7,1,adversarial,0,8,0.0
R01,7,1,benign,0,8,0.0
R01,7,5,adversarial,0,16,0.0
R01,7,5,benign,0,8,0.0
R01,7,10,adversarial,0,16,0.0
R01,7,10,benign,0,8,0.0
R01,7,15,adversarial,0,16,0.0
R01,7,15,benign,0,8,0.0
R02,3,1,adversarial,3,3,1.0
R02,3,1,benign,3,3,1.0
R02,3,5,adversarial,6,6,1.0
R02,3,5,benign,3,3,1.0
R02,3,10,adversarial,4,6,0.6666666666666666
R02,3,10,benign,3,3,1.0
R02,3,15,adversarial,5,6,0.8333333333333334
R02,3,15,benign,3,3,1.0
R02,5,1,adversarial,2,2,1.0
R02,5,1,benign,2,2,1.0
R02,5,5,adversarial,4,4,1.0
R02,5,5,benign,2,2,1.0
R02,5,10,adversarial,4,4,1.0
R02,5,10,benign,2,2,1.0
R02,5,15,adversarial,4,4,1.0
R02,5,15,benign,2,2,1.0
R02,7,1,adversarial,7,7,1.0
R02,7,1,benign,7,7,1.0
R02,7,5,adversarial,13,14,0.9285714285714286
R02,7,5,benign,7,7,1.0
R02,7,10,adversarial,14,14,1.0
R02,7,10,benign,7,7,1.0
R02,7,15,adversarial,14,14,1.0
R02,7,15,benign,7,7,1.0
R03,1,1,adversarial,1,1,1.0
R03,1,1,benign,0,1,0.0
R03,1,5,adversarial,2,2,1.0
R03,1,5,benign,0,1,0.0
R03,1,10,adversarial,2,2,1.0
R03,1,10,benign,0,1,0.0
R03,1,15,adversarial,2,2,1.0
R03,1,15,benign,0,1,0.0
R03,3,1,adversarial,10,10,1.0
R03,3,1,benign,3,10,0.3
R03,3,5,adversarial,20,20,1.0
R03,3,5,benign,2,10,0.2
R03,3,10,adversarial,20,20,1.0
R03,3,10,benign,3,10,0.3
R03,3,15,adversarial,20,20,1.0
R03,3,15,benign,4,10,0.4
R03,5,1,adversarial,10,10,1.0
R03,5,1,benign,3,10,0.3
R03,5,5,adversarial,20,20,1.0
R03,5,5,benign,2,10,0.2
R03,5,10,adversarial,20,20,1.0
R03,5,10,benign,6,10,0.6
R03,5,15,adversarial,20,20,1.0
R03,5,15,benign,5,10,0.5
R03,7,1,adversarial,10,10,1.0
R03,7,1,benign,7,10,0.7
R03,7,5,adversarial,20,20,1.0
R03,7,5,benign,3,10,0.3
R03,7,10,adversarial,20,20,1.0
R03,7,10,benign,5,10,0.5
R03,7,15,adversarial,20,20,1.0
R03,7,15,benign,4,10,0.4
R04,5,10,benign,0,1,0.0
R05,3,1,adversarial,0,3,0.0
R05,3,1,benign,0,3,0.0
R05,3,5,adversarial,0,6,0.0
R05,3,5,benign,0,3,0.0
R05,3,10,adversarial,0,6,0.0
R05,3,10,benign,0,3,0.0
R05,3,15,adversarial,1,6,0.16666666666666666
R05,3,15,benign,0,3,0.0
R05,5,1,adversarial,0,4,0.0
R05,5,1,benign,0,4,0.0
R05,5,5,adversarial,0,8,0.0
R05,5,5,benign,0,4,0.0
R05,5,10,adversarial,1,8,0.125
R05,5,10,benign,0,4,0.0
R05,5,15,adversarial,0,8,0.0
R05,5,15,benign,0,4,0.0
R05,7,1,adversarial,0,10,0.0
R05,7,1,benign,0,10,0.0
R05,7,5,adversarial,0,20,0.0
R05,7,5,benign,0,10,0.0
R05,7,10,adversarial,1,20,0.05
R05,7,10,benign,0,10,0.0
R05,7,15,adversarial,0,20,0.0
R05,7,15,benign,0,10,0.0
R06,3,1,adversarial,0,3,0.0
R06,3,5,adversarial,0,2,0.0
R06,3,5,benign,0,3,0.0
R06,3,10,adversarial,0,6,0.0
R06,3,10,benign,0,1,0.0
R06,3,15,adversarial,0,3,0.0
R06,3,15,benign,0,4,0.0
R06,5,1,adversarial,0,6,0.0
R06,5,1,benign,0,4,0.0
R06,5,5,adversarial,0,11,0.0
R06,5,5,benign,0,6,0.0
R06,5,10,adversarial,0,7,0.0
R06,5,10,benign,0,2,0.0
R06,5,15,adversarial,0,6,0.0
R06,5,15,benign,0,4,0.0
R06,7,1,adversarial,0,5,0.0
R06,7,1,benign,0,4,0.0
R06,7,5,adversarial,0,6,0.0
R06,7,5,benign,0,3,0.0
R06,7,10,adversarial,0,6,0.0
R06,7,10,benign,0,3,0.0
R06,7,15,adversarial,0,4,0.0
R06,7,15,benign,0,6,0.0
R07,3,1,adversarial,1,1,1.0
R07,3,5,adversarial,2,2,1.0
R07,3,10,adversarial,2,2,1.0
R07,3,15,adversarial,2,2,1.0
R07,5,1,adversarial,4,4,1.0
R07,5,5,adversarial,8,8,1.0
R07,5,10,adversarial,8,8,1.0
R07,5,15,adversarial,8,8,1.0
R07,7,1,adversarial,6,6,1.0
R07,7,5,adversarial,12,12,1.0
R07,7,10,adversarial,12,12,1.0
R07,7,15,adversarial,12,12,1.0
R09,3,1,adversarial,1,2,0.5
R09,3,1,benign,0,2,0.0
R09,3,5,adversarial,2,4,0.5
R09,3,5,benign,0,2,0.0
R09,3,10,adversarial,2,4,0.5
R09,3,10,benign,0,2,0.0
R09,3,15,adversarial,4,4,1.0
R09,3,15,benign,0,2,0.0
R09,5,1,adversarial,3,4,0.75
R09,5,1,benign,0,3,0.0
R09,5,5,adversarial,6,8,0.75
R09,5,5,benign,1,4,0.25
R09,5,10,adversarial,6,8,0.75
R09,5,10,benign,0,4,0.0
R09,5,15,adversarial,6,8,0.75
R09,5,15,benign,1,3,0.3333333333333333
R09,7,1,adversarial,5,8,0.625
R09,7,1,benign,0,6,0.0
R09,7,5,adversarial,11,15,0.7333333333333333
R09,7,5,benign,1,7,0.14285714285714285
R09,7,10,adversarial,14,16,0.875
R09,7,10,benign,1,8,0.125
R09,7,15,adversarial,16,16,1.0
R09,7,15,benign,0,6,0.0
