temperature,attack_intensity,rule_count,rule_type,trajectories,failed_trajectories,failure_rate,mean_first_failure_turn,median_first_failure_turn,p25_first_failure_turn,p75_first_failure_turn,min_first_failure_turn,max_first_failure_turn
0.0,adversarial,1,format,2,2,1.0,14.5,14.5,14.25,14.75,14,15
0.0,adversarial,3,behavior,14,4,0.2857142857142857,11.5,14.0,11.25,14.25,3,15
0.0,adversarial,3,format,28,28,1.0,9.142857142857142,14.0,1.0,14.25,1,15
0.0,adversarial,3,language,4,0,0.0,,,,,,
0.0,adversarial,3,persona,6,1,0.16666666666666666,15,15,15.0,15.0,15,15
0.0,adversarial,5,behavior,27,8,0.2962962962962963,10.5,13.5,5.75,14.0,4,14
0.0,adversarial,5,format,32,32,1.0,8.46875,14.0,1.0,14.0,1,15
0.0,adversarial,5,language,10,0,0.0,,,,,,
0.0,adversarial,5,persona,8,0,0.0,,,,,,
0.0,adversarial,7,behavior,33,17,0.5151515151515151,10.470588235294118,12,8.0,14.0,2,15
0.0,adversarial,7,format,46,46,1.0,6.717391304347826,1.0,1.0,14.0,1,15
0.0,adversarial,7,language,16,0,0.0,,,,,,
0.0,adversarial,7,persona,20,1,0.05,3,3,3.0,3.0,3,3
0.0,benign,1,format,1,0,0.0,,,,,,
0.0,benign,3,behavior,7,1,0.14285714285714285,1,1,1.0,1.0,1,1
0.0,benign,3,format,13,7,0.5384615384615384,1,1,1.0,1.0,1,1
0.0,benign,3,language,2,0,0.0,,,,,,
0.0,benign,3,persona,3,0,0.0,,,,,,
0.0,benign,5,behavior,13,3,0.23076923076923078,10.333333333333334,11,8.5,12.5,6,14
0.0,benign,5,format,12,7,0.5833333333333334,1,1,1.0,1.0,1,1
0.0,benign,5,language,5,0,0.0,,,,,,
0.0,benign,5,persona,4,0,0.0,,,,,,
0.0,benign,7,behavior,19,4,0.21052631578947367,7.25,7.0,4.25,10.0,2,13
0.0,benign,7,format,17,11,0.6470588235294118,1,1,1.0,1.0,1,1
0.0,benign,7,language,8,0,0.0,,,,,,
0.0,benign,7,persona,10,0,0.0,,,,,,
